<year>	<month>	<day>	<hour>	<min>	<mlt>	<mlat>	<glon>	<glat>
2023	12	16	22	31	0.70	68.00	22.85	71.43
2023	12	17	00	11	2.08	64.00	22.23	67.40
2023	12	17	02	03	4.15	67.00	20.60	70.28
2023	12	17	06	43	4.69	71.00	306.35	63.94
2023	12	17	09	09	21.51	70.00	206.02	70.88
2023	12	17	10	49	2.80	61.00	247.35	53.22
2023	12	17	11	26	5.24	68.00	266.56	57.37
2023	12	17	13	12	7.14	68.00	266.79	57.36
2023	12	17	13	53	5.74	69.00	247.12	61.40
2023	12	17	15	06	4.41	65.00	214.85	64.31
2023	12	17	15	41	4.90	65.00	214.94	64.29
2023	12	17	16	30	4.72	70.00	206.73	70.76
2023	12	17	19	32	21.99	63.00	31.33	66.85
2023	12	18	05	57	19.10	65.00	213.87	64.50
2023	12	18	06	52	22.57	69.00	246.93	61.44
2023	12	18	07	28	5.87	65.00	313.76	59.43
2023	12	18	09	30	1.46	61.00	247.71	53.15
2023	12	18	10	50	0.03	65.00	213.67	64.54
2023	12	18	13	51	3.24	65.00	214.27	64.42
2023	12	18	15	53	4.69	70.00	214.06	69.47
2023	12	18	17	20	5.87	70.00	213.75	69.53
2023	12	18	18	39	7.04	70.00	213.48	69.58
2023	12	18	19	44	7.59	70.00	205.96	70.89
2023	12	18	21	46	23.44	65.00	16.71	68.05
2023	12	19	01	19	2.60	63.00	11.20	65.72
2023	12	19	06	44	22.42	69.00	246.93	61.44
2023	12	19	16	47	4.93	70.00	206.56	70.79
2023	12	19	21	27	23.02	66.00	13.84	68.83
2023	12	20	01	18	3.14	66.00	18.79	69.17
2023	12	20	03	19	1.32	65.00	313.91	59.46
2023	12	20	06	11	23.89	68.00	266.67	57.37
2023	12	20	07	27	23.17	69.00	247.09	61.40
2023	12	20	09	55	3.62	68.00	266.75	57.36
2023	12	20	10	16	22.58	70.00	205.60	70.95
2023	12	20	11	13	0.42	65.00	213.52	64.57
2023	12	20	12	39	1.99	65.00	213.88	64.50
2023	12	20	13	07	2.48	65.00	213.98	64.48
2023	12	20	14	32	3.88	65.00	214.58	64.36
2023	12	20	15	10	3.60	70.00	206.61	70.78
2023	12	20	17	09	19.50	71.00	17.09	74.08
2023	12	20	23	54	2.04	66.00	25.32	69.56
2023	12	21	09	37	22.41	70.00	213.33	69.61
2023	12	21	11	11	7.67	72.00	291.17	62.43
2023	12	21	15	21	3.75	70.00	206.66	70.77
2023	12	22	03	15	0.84	71.00	306.73	64.01
2023	12	22	05	18	20.80	69.00	246.88	61.45
2023	12	22	06	03	2.47	72.00	291.37	62.46
2023	12	23	00	17	0.65	70.00	349.22	70.28
2023	12	23	06	46	0.51	68.00	266.76	57.36
2023	12	23	14	19	3.65	65.00	214.39	64.40
2023	12	24	00	51	2.39	66.00	14.47	68.87
2023	12	24	02	03	1.46	65.00	336.56	63.70
2023	12	24	02	26	1.89	65.00	336.60	63.70
2023	12	24	04	07	4.79	70.00	348.67	70.21
2023	12	24	05	29	6.30	70.00	348.44	70.18
2023	12	24	10	11	8.28	72.00	308.39	65.36
2023	12	24	11	54	5.39	73.00	264.78	62.80
2023	12	24	16	22	4.56	70.00	206.63	70.78
2023	12	24	21	43	23.85	68.00	22.79	71.42
2023	12	26	04	29	5.17	70.00	348.55	70.20
2023	12	26	06	05	23.73	68.00	266.71	57.36
2023	12	26	09	06	21.87	70.00	213.34	69.60
2023	12	26	11	23	4.80	73.00	264.70	62.81
2023	12	26	12	40	10.83	75.00	305.41	67.94
2023	12	26	15	41	9.09	73.00	265.49	62.74
2023	12	27	01	09	1.52	70.00	349.16	70.28
2023	12	27	02	13	23.90	72.00	308.98	65.47
2023	12	27	06	47	9.44	74.00	11.40	76.74
2023	12	28	06	47	22.39	69.00	246.87	61.45
2023	12	29	00	46	1.10	70.00	349.17	70.28
2023	12	29	05	13	1.47	72.00	291.36	62.46
2023	12	29	05	44	2.05	72.00	291.35	62.46
2023	12	29	08	41	6.80	72.00	308.71	65.42
2023	12	29	22	15	0.23	71.00	16.44	74.03
2023	12	30	07	06	22.71	69.00	246.90	61.44
2023	12	30	13	27	1.88	70.00	205.59	70.95
2023	12	31	06	11	23.49	73.00	264.87	62.79
2023	12	31	06	44	0.39	68.00	266.65	57.37
2023	12	31	13	17	1.70	70.00	205.54	70.96
2023	12	31	21	30	23.48	71.00	16.39	74.03
